@@@This is the 1 time check.@@@

****************************
show processes cpu
****************************

CPU utilization for five seconds: 0%/0%; one minute: 2%; five minutes: 2%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         4650      1838      2   0.00%   0.00%  0.00%   -    init
 3223            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3261            0         8      0   0.00%   0.00%  0.00%   -    rpc.statd
 3271         1800     28110      0   0.00%   0.00%  0.00%   -    sysmgr
 3821           10         5      2   0.00%   0.00%  0.00%   -    xinetd
 3822           10         6      1   0.00%   0.00%  0.00%   -    tftpd
 3823         1380     12269      0   0.00%   0.00%  0.00%   -    syslogd
 3824          110        18      6   0.00%   0.00%  0.00%   -    sdwrapd
 3825          140        58      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3826         2790      9369      0   0.00%   0.01%  0.01%   -    platform
 3838           20       703      0   0.00%   0.00%  0.00%   -    klogd
 3843          150      2388      0   0.00%   0.00%  0.00%   -    vshd
 3845          150      2995      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3846           50      1173      0   0.00%   0.00%  0.00%   -    smm
 3847          200      2773      0   0.00%   0.00%  0.00%   -    session-mgr
 3848          210      8769      0   0.00%   0.00%  0.00%   -    psshelper
 3849          580      2785      0   0.00%   0.00%  0.00%   -    pixm
 3850           90     26365      0   0.00%   0.00%  0.00%   -    pdsd
 3851           50       190      0   0.00%   0.00%  0.00%   -    lmgrd
 3852          180      2371      0   0.00%   0.00%  0.00%   -    licmgr
 3853          210       172      1   0.00%   0.00%  0.00%   -    fs-daemon
 3854          190       979      0   0.00%   0.00%  0.00%   -    feature-mgr
 3855           90        44      2   0.00%   0.00%  0.00%   -    confcheck
 3856          760      1403      0   0.00%   0.00%  0.00%   -    capability
 3857          200      8759      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3867           20       158      0   0.00%   0.00%  0.00%   -    cisco
 3868        11440      2667      4   0.00%   0.00%  0.00%   -    clis
 3874          140       527      0   0.00%   0.00%  0.00%   -    port-profile
 3882            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 3883          750      2928      0   0.00%   0.00%  0.00%   -    xmlma
 3885          200      2805      0   0.00%   0.00%  0.00%   -    vmm
 3886          190      1133      0   0.00%   0.00%  0.00%   -    vman
 3887          280      2820      0   0.00%   0.00%  0.00%   -    vdc_mgr
 3888          180      4374      0   0.00%   0.00%  0.00%   -    ttyd
 3889           40     23849      0   0.19%   0.18%  0.18%   -    sysinfo
 3890          190      8732      0   0.00%   0.00%  0.00%   -    sksd
 3892          190       213      0   0.00%   0.00%  0.00%   -    res_mgr
 3893          260      8812      0   0.00%   0.00%  0.00%   -    plugin
 3894          650       321      2   0.00%   0.00%  0.00%   -    patch-installer
 3895          190       962      0   0.00%   0.00%  0.00%   -    mvsh
 3896           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 3897          240      2856      0   0.00%   0.00%  0.00%   -    module
 3900          150       946      0   0.00%   0.00%  0.00%   -    evms
 3903          170       912      0   0.00%   0.00%  0.00%   -    evmc
 3904          760       460      1   0.00%   0.00%  0.00%   -    crdcfg_server
 3905          680        32     21   0.00%   0.00%  0.00%   -    core-dmon
 3906          730      2752      0   0.00%   0.00%  0.00%   -    cli_acl
 3907         1290      1176      1   0.00%   0.00%  0.00%   -    ascii-cfg
 3909          810      8786      0   0.00%   0.00%  0.00%   -    securityd
 3910          190      8731      0   0.00%   0.00%  0.00%   -    cert_enroll
 3911         1370      9430      0   0.00%   0.00%  0.00%   -    aaa
 3913          120      1004      0   0.00%   0.00%  0.00%   -    l3vm
 3915          750     10046      0   0.00%   0.00%  0.00%   -    urib
 3922        17200    458640      0   0.19%   0.18%  0.18%   -    ori_fwd
 3923         7730      9364      0   0.00%   0.06%  0.06%   -    port_client
 3924        68710     11001      6   0.00%   1.05%  0.80%   -    statsclient
 3926          780     95904      0   0.00%   0.02%  0.02%   -    snmpd
 3929          340       274      1   0.00%   0.00%  0.00%   -    aclmgr
 3939          180      2806      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 3946          300       535      0   0.00%   0.00%  0.00%   -    npacl
 3950         1170        28     41   0.00%   0.00%  0.00%   -    ExceptionLog
 3951          370      4461      0   0.00%   0.00%  0.00%   -    bootvar
 3953          440      1654      0   0.00%   0.00%  0.00%   -    ifmgr
 3955          180      1404      0   0.00%   0.00%  0.00%   -    tcap
 3958          270      9557      0   0.00%   0.00%  0.00%   -    callhome
 3960          190    675899      0   0.00%   0.04%  0.07%   -    adjmgr
 3962           90      2573      0   0.00%   0.00%  0.00%   -    u6rib
 3983          190     15354      0   0.00%   0.00%  0.00%   -    l2fwd
 3996          510     10294      0   0.00%   0.00%  0.00%   -    arp
 3997          680       684      0   0.00%   0.00%  0.00%   -    icmpv6
 3998          110     31398      0   0.00%   0.00%  0.00%   -    pktmgr
 4025          360    164926      0   0.00%   0.04%  0.05%   -    netstack
 4136          270      8749      0   0.00%   0.00%  0.00%   -    radius
 4138          210      3046      0   0.00%   0.00%  0.00%   -    cdp
 4140          210      3053      0   0.00%   0.00%  0.00%   -    cfs
 4143           10         6      1   0.00%   0.00%  0.00%   -    ip_dummy
 4146           20         7      2   0.00%   0.00%  0.00%   -    ipv6_dummy
 4147          760       610      1   0.00%   0.00%  0.00%   -    ntp
 4149          150      2981      0   0.00%   0.00%  0.00%   -    otm
 4152           20         7      2   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4158          130       472      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 4375          420     16453      0   0.00%   0.00%  0.00%   -    ntpd
 5079         1800      1329      1   0.00%   0.00%  0.00%   -    vlan_mgr
 5083           90      3824      0   0.00%   0.00%  0.00%   -    rpm
 5087          490      2914      0   0.00%   0.00%  0.00%   -    pltfm_config
 5089          140      2793      0   0.00%   0.00%  0.00%   -    plsm
 5090          340      2786      0   0.00%   0.00%  0.00%   -    plcmgr
 5091          150      2736      0   0.00%   0.00%  0.00%   -    pixmc
 5094          510      1188      0   0.00%   0.00%  0.00%   -    pfstat
 5100         1540     38915      0   0.00%   0.01%  0.01%   -    mtm
 5105          200      2795      0   0.00%   0.00%  0.00%   -    lim
 5106          180      3053      0   0.00%   0.00%  0.00%   -    l2sfe
 5109          390      9471      0   0.00%   0.01%  0.01%   -    l2rib
 5112          130      2763      0   0.00%   0.00%  0.00%   -    l2fm_ut
 5117           90       549      0   0.00%   0.00%  0.00%   -    igmp
 5120          150      1398      0   0.00%   0.00%  0.00%   -    eth_port_channel
 5123          130       987      0   0.00%   0.00%  0.00%   -    eltm
 5124          180      2757      0   0.00%   0.00%  0.00%   -    elo_io
 5129           90    867517      0   0.00%   0.12%  0.13%   -    ecp
 5130          540        19     28   0.00%   0.00%  0.00%   -    dftm
 5138          890      8005      0   0.00%   0.00%  0.00%   -    bfdc
 5142          110       462      0   0.00%   0.00%  0.00%   -    adbm
 5148          130      1524      0   0.00%   0.00%  0.00%   -    l2fm
 5185          490      3200      0   0.00%   0.00%  0.00%   -    ethpm
 5250          900     45434      0   0.00%   0.00%  0.01%   -    stp
 5542          260       316      0   0.00%   0.00%  0.00%   -    copp
 5865          100      1392      0   0.00%   0.00%  0.00%   -    u2
 5866          110       245      0   0.00%   0.00%  0.00%   -    spm
 5867          140      2797      0   0.00%   0.00%  0.00%   -    sal
 5868          140     22662      0   0.00%   0.00%  0.01%   -    mrib
 5869          710      1409      0   0.00%   0.00%  0.00%   -    mfdm
 5870          130      2785      0   0.00%   0.00%  0.00%   -    mcm
 5871          110     30706      0   0.00%   0.01%  0.01%   -    m6rib
 5872          130      2781      0   0.00%   0.00%  0.00%   -    l2pt
 5873          180      2955      0   0.00%   0.00%  0.00%   -    ufdm
 5878          460       534      0   0.00%   0.00%  0.00%   -    mcastfwd
 5907          130       709      0   0.00%   0.00%  0.00%   -    m2rib
 6026          470      7840      0   0.00%   0.00%  0.00%   -    gettylogin1
 6030           10         4      2   0.00%   0.00%  0.00%   -    sh
 6038           50        53      0   0.00%   0.00%  0.00%   -    libvirtd
14328           30        32      0   0.00%   0.00%  0.00%   S0    login
17486          270      1822      0   0.00%   0.00%  0.00%   S0    vsh
20129            0         2      0   0.00%   0.00%  0.00%   S1    getty

****************************
show ip int bri
****************************
IP Interface Status for VRF "default"(1)
Interface            IP Address      Interface Status
Eth2/1               192.168.32.103  protocol-up/link-up/admin-up       





@@@This is the 2 time check.@@@

****************************
show processes cpu
****************************


CPU utilization for five seconds: 0%/0%; one minute: 2%; five minutes: 2%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         4650      1840      2   0.00%   0.00%  0.00%   -    init
 3223            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3261            0         8      0   0.00%   0.00%  0.00%   -    rpc.statd
 3271         1810     28377      0   0.00%   0.01%  0.00%   -    sysmgr
 3821           10         5      2   0.00%   0.00%  0.00%   -    xinetd
 3822           10         6      1   0.00%   0.00%  0.00%   -    tftpd
 3823         1380     12293      0   0.00%   0.00%  0.00%   -    syslogd
 3824          110        18      6   0.00%   0.00%  0.00%   -    sdwrapd
 3825          140        58      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3826         2790      9393      0   0.00%   0.00%  0.00%   -    platform
 3838           20       703      0   0.00%   0.00%  0.00%   -    klogd
 3843          150      2418      0   0.00%   0.00%  0.00%   -    vshd
 3845          150      2998      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3846           50      1178      0   0.00%   0.00%  0.00%   -    smm
 3847          200      2777      0   0.00%   0.00%  0.00%   -    session-mgr
 3848          210      8779      0   0.00%   0.00%  0.00%   -    psshelper
 3849          580      2789      0   0.00%   0.00%  0.00%   -    pixm
 3850           90     26396      0   0.00%   0.00%  0.00%   -    pdsd
 3851           50       190      0   0.00%   0.00%  0.00%   -    lmgrd
 3852          180      2386      0   0.00%   0.00%  0.00%   -    licmgr
